"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RC";;;
2;"J1";"PinHeader_2x09_P2.54mm_Horizontal";1;"2x09";;;
3;"H2,H3,H1";"MountingHole_2.7mm_M2.5";3;"2.5";;;
4;"U4,U3";"3561AS1-1";2;"3561AS1-1";;;
5;"J3";"PinHeader_2x03_P2.54mm_Vertical";1;"02x03";;;
6;"J2";"PinHeader_2x06_P2.54mm_Horizontal";1;"2x06";;;
7;"U2";"DIP-16_W7.62mm_LongPads";1;"7442";;;
8;"D2";"LED_D3.0mm";1;"LED";;;
9;"U1";"keypad hex";1;"keypad";;;
10;"C1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"100n";;;
11;"Q3,Q9,Q4,Q7,Q2,Q6,Q10,Q8,Q5,Q1";"SOT-23";10;"MMBT3906";;;
12;"R2,R10,R5,R3,R1,R4,R7,R8";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";8;"47R";;;
13;"R6,R9,R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"10k";;;
14;"R12";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"470R";;;
